A2M NP_000005.3
EXTL1 NP_004446.2
EXTL3 NP_001431.1
EYA1 NP_000494.2
EYA4 NP_004091.3
EZH2 NP_004447.2
EZR NP_001104547.1
F10 NP_000495.1
F11 NP_000119.1
F12 NP_000496.2
F13A1 NP_000120.2
F2 NP_000497.1
F3 NP_001984.1
F5 NP_000121.2
F7 NP_062562.1
F8 NP_000123.1
F9 NP_000124.1
FA2H NP_077282.3
FAAH NP_001432.2
FAAH2 NP_777572.2
FAAP24 NP_689479.1
FABP1 NP_001434.1
FABP3 NP_004093.1
FABP5 NP_001435.1
FABP6 NP_001436.1
FABP9 NP_001073995.1
FADD NP_003815.1
FAH NP_000128.1
FAM107A NP_001070246.1
FAM111A NP_001135991.1
FAM118B NP_078832.1
FAM120B NP_115824.1
FAM126A NP_115970.2
FAM135A NP_001156001.1
FAM13B NP_001372923.1
FAM151A NP_788954.2
FAM170B NP_001157956.1
FAM171B NP_803237.3
FAM180A NP_995327.1
FAM186A NP_001138947.1
FAM193A NP_003695.3
FAM200A NP_659802.1
FAM205A NP_001135389.1
FAM20A NP_060035.2
FAM20C NP_064608.2
FAM229B NP_001028736.1
FAM234A NP_114428.1
FAM234B NP_065904.1
FAM24A NP_001025059.1
FAM43B NP_997217.1
FAM47E NP_001130042.1
FAM71C NP_699195.1
FAM71D NP_775797.2
FAM71E2 NP_001138874.1
FAM83A NP_001381325.1
FAM83D NP_112181.3
FAM8A1 NP_057339.1
FAM91A1 NP_659400.3
FAM98A NP_056290.3
FAM98C NP_777565.3
FAN1 NP_055782.3
FANCA NP_000126.2
FANCC NP_000127.2
FANCD2 NP_001018125.1
FANCD2 NP_149075.2
FANCE NP_068741.1
FANCF NP_073562.1
FANCG NP_004620.1
FANCI NP_001106849.1
FANCM NP_065988.1
FAP NP_004451.2
FAR1 NP_115604.1
FARP2 NP_055623.1
FARS2 NP_006558.1
FARSA NP_004452.1
FARSB NP_005678.3
FAS NP_000034.1
FASLG NP_000630.1
FASN NP_004095.4
FASTKD2 NP_001129665.1
FAU NP_001988.1
FBLN1 NP_006477.3
FBLN2 NP_001004019.1
FBLN7 NP_694946.2
FBN1 NP_000129.3
FBN2 NP_001990.2
FBN3 NP_115823.3
FBP1 NP_000498.2
FBRSL1 NP_001136113.1
FBRSL1 NP_001354800.1
FBXL13 NP_659469.3
FBXL19 NP_001093254.2
FBXL4 NP_001265645.1
FBXL8 NP_060848.2
FBXO11 NP_001177203.1
FBXO22 NP_671717.1
FBXO30 NP_115521.3
FBXO31 NP_079011.3
FBXO34 NP_060413.2
FBXO39 NP_694962.1
FBXO40 NP_057382.2
FBXO6 NP_060908.1
FBXO7 NP_036311.3
FBXO8 NP_036312.2
FBXW10 NP_001254514.1
FBXW7 NP_001336727.1
FBXW8 NP_699179.2
FCER1A NP_001992.1
FCER2 NP_001207429.1
FCGR2A NP_001129691.1
FCGR3A NP_000560.7
FCGR3A NP_001121065.1
FCGRT NP_001129491.1
FCHO1 NP_055937.1
FCN2 NP_004099.2
FCRL3 NP_443171.2
FCRL4 NP_112572.1
FCRL5 NP_112571.2
FCRL6 NP_001004310.2
FCRLA NP_116127.4
FCSK NP_659496.2
FDCSP NP_694542.1
FDFT1 NP_004453.3
FDPS NP_001995.1
FDXR NP_077728.3
FECH NP_000131.2
FER NP_005237.2
FER1L6 NP_001034201.2
FERMT1 NP_060141.3
FERMT3 NP_113659.3
FES NP_001996.1
FETUB NP_055190.2
FEZ2 NP_001036013.1
FEZ2 NP_005093.2
FFAR2 NP_001357016.1
FFAR3 NP_005295.1
FGB NP_005132.2
FGD1 NP_004454.2
FGD2 NP_775829.2
FGD4 NP_640334.2
FGD5 NP_689749.3
FGF1 NP_000791.1
FGF10 NP_004456.1
FGF12 NP_066360.1
FGF14 NP_004106.1
FGF20 NP_062825.1
FGF21 NP_061986.1
FGF23 NP_065689.1
FGF3 NP_005238.1
FGF7 NP_002000.1
FGF8 NP_149354.1
FGF9 NP_002001.1
FGFBP1 NP_005121.1
FGFBP3 NP_689642.3
FGFR1OP2 NP_056448.1
FGFR2 NP_000132.3
FGFR2 NP_075418.1
FGFR3 NP_000133.1
FGFR3 NP_001156685.1
FGFR3 NP_075254.1
FGFR4 NP_998812.1
FGFRL1 NP_001004356.1
FGG NP_068656.2
FGGY NP_060761.3
FGL1 NP_004458.3
FH NP_000134.2
FHAD1 NP_443161.1
FHDC1 NP_001358045.1
FHL2 NP_963849.1
FHOD3 NP_079411.2
FICD NP_009007.2
FIGLA NP_001004311.2
FILIP1 NP_056502.1
FKBP10 NP_068758.3
FKBP4 NP_002005.1
FKBPL NP_071393.2
FKRP NP_077277.1
FKTN NP_001073270.1
FLCN NP_659434.2
FLI1 NP_002008.2
FLII NP_002009.1
FLNB NP_001448.2
FLNC NP_001449.3
FLT1 NP_002010.2
FLT3 NP_004110.2
FLT4 NP_891555.2
FLVCR1 NP_054772.1
FLVCR2 NP_060261.2
FLYWCH1 NP_065963.1
FMN2 NP_064450.3
FMO1 NP_001269622.1
FMO2 NP_001451.2
FMO3 NP_001002294.1
FMO4 NP_002013.1
FMO5 NP_001452.2
FMR1 NP_002015.1
FNDC1 NP_115921.2
FNDC3A NP_001073141.1
FNDC3B NP_073600.3
FNDC7 NP_001138409.1
FNDC9 NP_001001343.2
FNIP2 NP_065891.1
FOCAD NP_001362496.1
FOCAD NP_060264.4
FOLR2 NP_000794.3
FOS NP_005243.1
FOSL2 NP_005244.1
FOXA2 NP_068556.2
FOXB2 NP_001013757.1
FOXC2 NP_005242.1
FOXE3 NP_036318.1
FOXF1 NP_001442.2
FOXG1 NP_005240.3
FOXH1 NP_003914.1
FOXK2 NP_004505.2
FOXL2 NP_075555.1
FOXM1 NP_068772.2
FOXN1 NP_001356298.1
FOXN3 NP_001078940.1
FOXP1 NP_116071.2
FOXP2 NP_683696.2
FOXP3 NP_054728.2
FOXP4 NP_001012426.1
FOXRED1 NP_060017.1
FPR1 NP_002020.1
FPR2 NP_001005738.1
FRMD1 NP_079195.3
FRMD5 NP_116281.2
FRMD6 NP_001253975.1
FRMD7 NP_919253.1
FRRS1L NP_055149.2
FRS3 NP_006644.1
FRY NP_075463.2
FRZB NP_001454.2
FSCB NP_115511.3
FSCN2 NP_001070650.1
FSCN2 NP_036550.1
FSCN3 NP_065102.1
FSD1 NP_077309.1
FSD1L NP_001274120.1
FSD1L NP_114125.1
FSHB NP_000501.1
FSHR NP_000136.2
FTCD NP_996848.1
FTH1 NP_002023.2
FTL NP_000137.2
FTO NP_001073901.1
FTSJ1 NP_036412.1
FUCA1 NP_000138.2
FURIN NP_002560.1
FUT11 NP_775811.2
FUT5 NP_002025.2
FUZ NP_079405.2
FXN NP_000135.2
FXYD2 NP_001671.2
FYCO1 NP_078789.2
FYN NP_002028.1
FZD10 NP_009128.1
FZD4 NP_036325.2
FZD5 NP_003459.2
FZD7 NP_003498.1
G2E3 NP_060239.2
G6PC NP_000142.2
G6PD NP_000393.4
G6PD NP_001346945.1
GAB1 NP_002030.2
GABBR1 NP_001461.1
GABBR2 NP_005449.5
GABPB2 NP_653219.1
GABRA1 NP_001121116.1
GABRA2 NP_000798.2
GABRA5 NP_000801.1
GABRA6 NP_000802.2
GABRB1 NP_000803.2
GABRB2 NP_000804.1
GABRB2 NP_068711.1
GABRB3 NP_000805.1
GABRD NP_000806.2
GABRE NP_004952.2
GABRG1 NP_775807.2
GABRG2 NP_944493.2
GABRG3 NP_150092.2
GABRP NP_055026.1
GAD1 NP_000808.2
GAD2 NP_001127838.1
GAL NP_057057.2
GAL3ST2 NP_071417.2
GAL3ST4 NP_078913.3
GALC NP_000144.2
GALE NP_001008217.1
GALK1 NP_000145.1
GALK2 NP_002035.1
GALNS NP_000503.1
GALNT1 NP_065207.2
GALNT10 NP_938080.1
GALNT11 NP_071370.2
GALNT12 NP_078918.3
GALNT14 NP_078848.2
GALNT2 NP_004472.1
GALNT3 NP_004473.2
GALNT4 NP_003765.2
GALNT5 NP_055383.1
GALNT6 NP_009141.2
GALNT7 NP_059119.2
GALNT8 NP_059113.1
GALNTL5 NP_660335.2
GALNTL6 NP_001030017.2
GALP NP_149097.1
GALR1 NP_001471.2
GALR2 NP_003848.1
GALR3 NP_003605.1
GALT NP_000146.2
GAMT NP_000147.1
GAN NP_071324.1
GANC NP_937784.2
GAPDHS NP_055179.1
GAPVD1 NP_001269609.1
GARRE1 NP_055501.2
GARS1 NP_002038.2
GART NP_000810.1
GAS2L3 NP_777602.1
GAS6 NP_000811.1
GAS7 NP_958839.1
GAS8 NP_001472.1
GATA1 NP_002040.1
GATA2 NP_001139133.1
GATA2 NP_116027.2
GATA4 NP_002043.2
GATA5 NP_536721.1
GATA6 NP_005248.2
GATAD1 NP_066990.3
GATB NP_004555.1
GATM NP_001473.1
GBA NP_000148.2
GBA2 NP_065995.1
GBE1 NP_000149.4
GBF1 NP_004184.1
GBP3 NP_060754.2
GBP5 NP_443174.1
GBP6 NP_940862.2
GBP7 NP_997281.2
GC NP_000574.2
GC NP_001191236.1
GCC2 NP_852118.2
GCDH NP_000150.1
GCG NP_002045.1
GCGR NP_000151.1
GCH1 NP_000152.1
GCK NP_000153.1
GCKR NP_001477.2
GCLC NP_001489.1
GCNT1 NP_001481.2
GCNT2 NP_663624.1
GCNT2 NP_663630.2
GCNT3 NP_004742.1
GCSH NP_004474.2
GDA NP_004284.1
GDAP1 NP_061845.2
GDF1 NP_001483.3
GDF10 NP_004953.1
GDF11 NP_005802.1
GDF2 NP_057288.1
GDF3 NP_065685.1
GDF5 NP_000548.2
GDF6 NP_001001557.1
GDF7 NP_878248.2
GDF9 NP_005251.1
GDI1 NP_001484.1
GDI2 NP_001485.2
GDNF NP_000505.1
GDPD3 NP_077283.2
GDPGP1 NP_001013679.2
GEMIN4 NP_056536.2
GEMIN5 NP_056280.2
GEMIN6 NP_079051.9
GFAP NP_002046.1
GFER NP_005253.3
GFI1 NP_005254.2
GFI1B NP_004179.3
GFM1 NP_001295093.1
GFM1 NP_079272.4
GFM2 NP_115756.2
GFPT1 NP_002047.2
GFPT2 NP_005101.1
GGA3 NP_619525.1
GGCX NP_000812.2
GGH NP_003869.1
GGNBP2 NP_079111.1
GGT1 NP_001275762.1
GGT5 NP_004112.2
GGT7 NP_821158.2
GH1 NP_000506.2
GHR NP_000154.1
GHRHR NP_000814.2
GHSR NP_940799.1
GIGYF2 NP_001096616.1
GIGYF2 NP_056390.2
GIMAP1 NP_570115.1
GIMAP4 NP_060796.1
GIMAP6 NP_078987.3
GIMAP7 NP_694968.1
GIMAP8 NP_783161.1
GINS1 NP_066545.3
GINS4 NP_115712.1
GIPC1 NP_005707.1
GIPC3 NP_573568.1
GIPR NP_000155.1
GIT2 NP_476510.1
GJA1 NP_000156.1
GJA3 NP_068773.2
GJA4 NP_002051.2
GJA5 NP_859054.1
GJA8 NP_005258.2
GJB1 NP_000157.1
GJB2 NP_003995.2
GJB3 NP_076872.1
GJB4 NP_694944.1
GJB6 NP_001103689.1
GJB7 NP_940970.1
GJC2 NP_065168.2
GJC3 NP_853516.1
GJD2 NP_065711.1
GLA NP_000160.1
GLB1 NP_000395.3
GLCE NP_056369.1
GLDC NP_000161.2
GLDN NP_861454.2
GLE1 NP_001003722.1
GLI1 NP_005260.1
GLI2 NP_001361282.1
GLI3 NP_000159.3
GLIPR1L1 NP_001291893.1
GLIS1 NP_671726.2
GLIS2 NP_115964.2
GLIS3 NP_001035878.1
GLMN NP_444504.1
GLP1R NP_002053.3
GLP2R NP_004237.1
GLRA1 NP_000162.2
GLRB NP_000815.1
GLRX5 NP_057501.2
GLT1D1 NP_653270.1
GLT6D1 NP_892019.2
GLUD1 NP_005262.1
GLUD2 NP_036216.2
GLUL NP_001028216.1
GLYATL2 NP_659453.3
GLYATL3 NP_001010904.1
GLYCTK NP_660305.2
GM2A NP_000396.2
GMEB1 NP_001306603.1
GMNN NP_056979.1
GMPPA NP_037467.2
GMPPB NP_068806.2
GMPR NP_006868.3
GNA14 NP_004288.1
GNA15 NP_002059.3
GNAI1 NP_002060.4
GNAI3 NP_006487.1
GNAO1 NP_066268.1
GNAQ NP_002063.2
GNAS NP_000507.1
GNAS NP_536350.2
GNAT1 NP_653082.1
GNAT2 NP_005263.1
GNB1 NP_002065.1
GNB1L NP_443730.1
GNB3 NP_002066.1
GNB4 NP_067642.1
GNB5 NP_057278.2
GNE NP_001121699.1
GNE NP_005467.1
GNL2 NP_037417.1
GNL3 NP_055181.3
GNPTAB NP_077288.2
GNPTG NP_115909.1
GNRHR NP_000397.1
GOLGA3 NP_005886.2
GOLGA4 NP_002069.2
GOLGA5 NP_005104.4
GON4L NP_001269787.1
GORAB NP_689494.2
GORASP1 NP_114105.1
GORASP2 NP_056345.3
GOSR2 NP_004278.2
GOT1 NP_002070.1
GOT2 NP_002071.2
GP1BA NP_000164.5
GP1BB NP_000398.1
GP5 NP_004479.1
GP6 NP_001077368.2
GP9 NP_000165.1
GPA33 NP_005805.1
GPAM NP_001231878.1
GPAT4 NP_848934.1
GPATCH1 NP_060495.2
GPATCH2 NP_060510.1
GPBAR1 NP_733800.1
GPBP1 NP_001120707.2
GPC1 NP_002072.2
GPC3 NP_004475.1
GPC4 NP_001439.2
GPC5 NP_004457.1
GPC6 NP_005699.1
GPD1 NP_005267.2
GPD1L NP_055956.1
GPD2 NP_000399.3
GPER1 NP_001091671.1
GPHN NP_065857.1
GPI NP_000166.2
GPIHBP1 NP_835466.2
GPNMB NP_002501.1
GPR101 NP_473362.1
GPR119 NP_848566.1
GPR137C NP_001093122.1
GPR142 NP_861455.1
GPR143 NP_000264.2
GPR146 NP_001290402.1
GPR15 NP_005281.1
GPR151 NP_919227.2
GPR152 NP_996880.1
GPR155 NP_689742.4
GPR158 NP_065803.2
GPR17 NP_005282.1
GPR19 NP_006134.2
GPR34 NP_001091048.1
GPR35 NP_001182310.1
GPR39 NP_001499.1
GPR4 NP_005273.1
GPR52 NP_005675.3
GPR61 NP_001380836.1
GPR83 NP_057624.3
GPRASP2 NP_612446.1
GPRC5B NP_057319.1
GPRIN1 NP_443131.2
GPRIN2 NP_001372211.1
GPS2 NP_004480.1
GPSM2 NP_037428.3
GPT NP_005300.1
GPT2 NP_597700.1
GRAMD1C NP_060047.3
GRAMD2A NP_001012660.1
GRAMD2B NP_001139791.1
GRAP NP_006604.1
GRB7 NP_005301.2
GREB1 NP_055483.2
GREB1L NP_001136438.1
GRHL2 NP_079191.2
GRHL3 NP_937816.1
GRHPR NP_036335.1
GRIA1 NP_000818.2
GRIA2 NP_000817.3
GRIA4 NP_000820.4
GRID1 NP_060021.1
GRID2 NP_001501.2
GRIK4 NP_055434.2
GRIN1 NP_015566.1
GRIN2A NP_001127879.1
GRIN2B NP_000825.2
GRIN2C NP_000826.2
GRIN2D NP_000827.2
GRIN3A NP_597702.2
GRIN3B NP_619635.1
GRIP1 NP_066973.2
GRIPAP1 NP_064522.4
GRK1 NP_002920.1
GRK4 NP_892027.2
GRK5 NP_005299.1
GRK6 NP_001004106.1
GRM1 NP_001264993.1
GRM2 NP_000830.2
GRM4 NP_000832.1
GRM5 NP_001137303.1
GRM6 NP_000834.2
GRM8 NP_000836.2
GRN NP_002078.1
GRPR NP_005305.1
GRXCR1 NP_001073945.1
GSDMD NP_079012.3
GSKIP NP_057556.2
GSN NP_000168.1
GSN NP_001121138.1
GSR NP_000628.2
GSTCD NP_001357110.1
GSTK1 NP_057001.1
GSTM1 NP_000552.2
GSTM5 NP_000842.2
GSTO1 NP_004823.1
GSTO2 NP_899062.1
GSTP1 NP_000843.1
GTDC1 NP_001006637.1
GTDC1 NP_001363241.1
GTF2E1 NP_005504.2
GTF2E2 NP_002086.1
GTF2F2 NP_004119.1
GTF2H4 NP_001508.1
GTF3A NP_002088.2
GTF3C1 NP_001511.2
GTPBP1 NP_004277.2
GTPBP10 NP_149098.2
GTPBP3 NP_116009.2
GUCA1A NP_000400.2
GUCA1B NP_002089.4
GUCY2C NP_004954.2
GUCY2D NP_000171.1
GUCY2F NP_001513.2
GUF1 NP_068746.2
GULP1 NP_057399.1
GUSB NP_000172.2
GXYLT1 NP_775872.1
GXYLT2 NP_001073862.1
GYG1 NP_004121.2
GYS1 NP_002094.2
GYS2 NP_068776.2
GZF1 NP_071927.1
GZMA NP_006135.2
GZMB NP_004122.2
GZMM NP_005308.2
H1-4 NP_005312.1
H2BC8 NP_003509.1
H3-3A NP_002098.1
H6PD NP_004276.2
HABP2 NP_004123.1
HACD3 NP_057479.2
HACE1 NP_065822.2
HACL1 NP_036392.2
HADH NP_001171634.2
HADH NP_005318.4
HADHA NP_000173.2
HADHB NP_000174.1
HAL NP_002099.1
HAO1 NP_060015.1
HAP1 NP_817084.2
HARS1 NP_002100.2
HARS2 NP_036340.1
HAUS5 NP_056117.1
HAUS6 NP_060115.3
HAVCR1 NP_001166864.1
HAVCR2 NP_116171.3
HAX1 NP_006109.2
HBA1 NP_000549.1
HBB NP_000509.1
HBQ1 NP_005322.1
HBS1L NP_006611.1
HCAR3 NP_006009.2
HCLS1 NP_005326.3
HCN1 NP_066550.2
HCN3 NP_065948.1
HCN4 NP_005468.1
HCRTR1 NP_001516.2
HDAC1 NP_004955.2
HDAC3 NP_003874.2
HDAC8 NP_060956.1
HDC NP_002103.2
HDGFL2 NP_001001520.1
HDHD5 NP_149061.1
HDLBP NP_005327.1
HEATR1 NP_060542.4
HEATR5B NP_061897.1
HEATR6 NP_071353.4
HECTD1 NP_056197.3
HECTD3 NP_078878.3
HECW1 NP_055867.3
HELB NP_001357214.1
HELLS NP_060533.2
HELZ2 NP_001032412.2
HENMT1 NP_001096062.1
HEPACAM NP_689935.2
HEPACAM2 NP_001034461.1
HEPHL1 NP_001092142.1
HERC5 NP_057407.2
HERC6 NP_060382.3
HERPUD1 NP_055500.1
HES7 NP_001159439.1
HESX1 NP_003856.1
HEXA NP_000511.2
HEXB NP_000512.1
HEXB NP_000512.2
HEXD NP_775891.2
HEXIM2 NP_001290370.1
HFE NP_000401.1
HFM1 NP_001017975.4
HGD NP_000178.2
HGF NP_000592.3
HGS NP_004703.1
HHAT NP_060664.2
HHIP NP_071920.1
HHIPL2 NP_079022.2
HHLA1 NP_001138567.1
HIBCH NP_055177.2
HIC1 NP_001091672.1
HIC2 NP_055909.2
HIF1A NP_001521.1
HIF3A NP_690008.2
HIKESHI NP_057485.2
HINFP NP_945322.1
HINT1 NP_005331.1
HIP1 NP_005329.3
HIP1R NP_003950.1
HIPK3 NP_005725.3
HIPK4 NP_653286.2
HIRA NP_003316.3
HIRIP3 NP_003600.2
HIVEP1 NP_002105.3
HIVEP2 NP_006725.3
HIVEP3 NP_078779.2
HJV NP_998818.1
HK1 NP_277032.1
HK3 NP_002106.2
HKDC1 NP_079406.4
HLA-E NP_005507.3
HLCS NP_000402.3
HLTF NP_003062.2
HMBS NP_000181.2
HMGCL NP_000182.2
HMGCLL1 NP_001035865.1
HMGN4 NP_006344.1
HMMR NP_001136028.1
HNF1A NP_000536.5
HNF4A NP_000448.3
HNMT NP_008826.1
HNRNPA1 NP_112420.1
HNRNPH1 NP_001244222.1
HNRNPH2 NP_062543.1
HNRNPK NP_112553.1
HOGA1 NP_612422.2
HOMER2 NP_004830.2
HOOK2 NP_037444.2
HOOK3 NP_115786.1
HOPX NP_115884.4
HORMAD1 NP_115508.2
HORMAD2 NP_689723.1
HOXB7 NP_004493.3
HOXC6 NP_004494.1
HOXC9 NP_008828.1
HOXD3 NP_008829.3
HPD NP_002141.2
HPGD NP_000851.2
HPGDS NP_055300.1
HPN NP_001371062.1
HPRT1 NP_000185.1
HPS1 NP_000186.2
HPS3 NP_115759.2
HPS5 NP_852608.1
HPS6 NP_079023.2
HPSE NP_001092010.1
HPSE2 NP_068600.4
HPX NP_000604.1
HR NP_005135.2
HRAS NP_005334.1
HRC NP_002143.1
HRCT1 NP_001034881.1
HRH2 NP_001354640.1
HS1BP3 NP_071905.3
HS6ST1 NP_004798.3
HSD17B10 NP_001032900.1
HSD17B13 NP_835236.2
HSD17B2 NP_002144.1
HSD17B3 NP_000188.1
HSD17B4 NP_000405.1
HSD17B6 NP_003716.2
HSD17B7 NP_057455.1
HSD17B8 NP_055049.1
HSD3B2 NP_000189.1
HSD3B7 NP_079469.2
HSDL2 NP_115679.2
HSF2 NP_004497.1
HSF4 NP_001035757.1
HSF4 NP_001361604.1
HSH2D NP_116244.1
HSP90AA1 NP_001017963.2
HSP90AB1 NP_031381.2
HSPA13 NP_008879.3
HSPA1L NP_005518.3
HSPA5 NP_005338.1
HSPA6 NP_002146.2
HSPA9 NP_004125.3
HSPB1 NP_001531.1
HSPB2 NP_001532.1
HSPB3 NP_006299.1
HSPB8 NP_055180.1
HSPD1 NP_002147.2
HSPH1 NP_006635.2
HTATIP2 NP_001091990.1
HTATIP2 NP_001091992.1
HTR1D NP_000855.1
HTR1E NP_000856.1
HTR2B NP_000858.3
HTR3A NP_000860.3
HTR3B NP_006019.1
HTR3C NP_570126.2
HTR3D NP_001157118.1
HTR3E NP_872395.2
HTR5A NP_076917.1
HTRA1 NP_002766.1
HTRA2 NP_037379.1
HTRA4 NP_710159.1
HUNK NP_055401.1
HYAL1 NP_149349.2
IARS1 NP_002152.2
IARS2 NP_060530.3
IBA57 NP_001010867.1
ICAM1 NP_000192.2
ICAM3 NP_002153.2
ICAM4 NP_001535.1
ICE1 NP_056140.1
ICOSLG NP_056074.1
IDH1 NP_001269315.1
IDH3A NP_005521.1
IDO1 NP_002155.1
IDS NP_000193.1
IDUA NP_000194.2
IFI16 NP_001363516.1
IFI16 NP_005522.2
IFI30 NP_006323.2
IFI35 NP_001317159.1
IFI44L NP_006811.2
IFIH1 NP_071451.2
IFIT1B NP_001010987.1
IFIT2 NP_001538.4
IFIT3 NP_001540.2
IFIT5 NP_036552.1
IFITM1 NP_003632.4
IFITM5 NP_001020466.1
IFNA2 NP_000596.2
IFNAR2 NP_001276054.1
IFNB1 NP_002167.1
IFNGR1 NP_000407.1
IFNGR2 NP_005525.2
IFNL3 NP_742151.2
IFRD1 NP_001541.2
IFRD2 NP_006755.4
IFT122 NP_443715.1
IFT140 NP_055529.2
IFT172 NP_056477.1
IFT27 NP_001171172.1
IFT57 NP_060480.1
IFT74 NP_079379.2
IFT80 NP_065851.1
IGBP1 NP_001542.1
IGDCC3 NP_004875.2
IGF1 NP_000609.1
IGF2BP2 NP_006539.3
IGF2R NP_000867.3
IGFALS NP_004961.1
IGFBP4 NP_001543.2
IGHMBP2 NP_002171.2
IGLL1 NP_064455.1
IGSF1 NP_001546.2
IGSF10 NP_849144.2
IGSF21 NP_116269.3
IGSF3 NP_001007238.1
IGSF5 NP_001073913.1
IGSF8 NP_443100.1
IGSF9 NP_001128522.1
IHH NP_002172.2
IKBKB NP_001547.1
IKBKG NP_001093326.2
IKBKG NP_003630.1
IKZF1 NP_006051.1
IKZF2 NP_057344.2
IKZF5 NP_001359052.1
IL10RA NP_001549.2
IL10RB NP_000619.3
IL11RA NP_001136256.1
IL12B NP_002178.2
IL12RB1 NP_005526.1
IL12RB2 NP_001361188.1
IL13 NP_002179.2
IL13RA1 NP_001551.1
IL17C NP_037410.1
IL17F NP_443104.1
IL17RA NP_055154.3
IL17RB NP_061195.2
IL17RC NP_703191.2
IL18BP NP_001034749.1
IL18R1 NP_003846.1
IL18RAP NP_003844.1
IL19 NP_715639.2
IL1A NP_000566.3
IL1F10 NP_775184.1
IL1R2 NP_004624.1
IL1RL1 NP_057316.3
IL1RL2 NP_003845.2
IL20RB NP_653318.2
IL21R NP_851564.1
IL22 NP_065386.1
IL22RA1 NP_067081.2
IL22RA2 NP_443194.1
IL24 NP_006841.1
IL25 NP_073626.1
IL27RA NP_004834.1
IL2RA NP_000408.1
IL2RB NP_000869.1
IL2RG NP_000197.1
IL3 NP_000579.2
IL33 NP_001300973.1
IL36A NP_055255.1
IL36G NP_062564.1
IL36RN NP_036407.1
IL37 NP_055254.2
IL3RA NP_002174.1
IL5RA NP_000555.2
IL7R NP_002176.2
ILDR1 NP_001186728.1
ILF3 NP_060090.2
ILVBL NP_006835.2
IMMT NP_006830.2
IMP4 NP_219484.1
IMPA1 NP_005527.1
IMPA2 NP_055029.1
IMPDH1 NP_000874.2
IMPDH2 NP_000875.2
IMPG1 NP_001554.2
INA NP_116116.1
INCENP NP_001035784.1
INF2 NP_071934.3
ING1 NP_005528.4
ING3 NP_061944.2
INHA NP_002182.1
INMT NP_006765.4
INPP4A NP_001127696.1
INPP4A NP_001557.1
INPP4B NP_001095139.1
INPP5E NP_063945.2
INPP5F NP_055752.1
INPP5J NP_001271214.1
INPP5K NP_057616.2
INPPL1 NP_001558.3
INS NP_000198.1
INSL4 NP_002186.1
INSL6 NP_009110.2
INSR NP_000199.2
INSRR NP_055030.1
INSYN2B NP_001123363.1
INTS3 NP_075391.3
INTS8 NP_060334.2
INTS9 NP_060720.2
INVS NP_055240.2
IPCEF1 NP_001124172.1
IPO4 NP_078934.3
IPO5 XP_005254109.1
IPO7 NP_006382.1
IPO8 NP_006381.2
IQCA1 NP_079002.3
IQCB1 NP_001018864.2
IQCE NP_689771.3
IQCF2 NP_982248.1
IQCG NP_115639.1
IQCN NP_001138776.1
IQGAP2 NP_006624.3
IQGAP3 NP_839943.3
IRAK1 NP_001560.2
IRAK1BP1 NP_001010844.1
IRAK2 NP_001561.3
IRAK3 NP_009130.2
IRAK4 NP_057207.2
IREB2 NP_004127.2
IRF3 NP_001562.1
IRF6 NP_006138.1
IRF7 NP_001563.2
IRF8 NP_002154.1
IRS4 NP_001366079.1
ISG15 NP_005092.1
ISG20 NP_002192.2
ISL2 NP_665804.1
ISLR NP_005536.1
ISLR2 NP_065902.1
ISM2 NP_954993.1
ISX NP_001290437.1
ITGA1 NP_852478.1
ITGA10 NP_003628.2
ITGA11 NP_001004439.1
ITGA2 NP_002194.2
ITGA2B NP_000410.2
ITGA3 NP_002195.1
ITGA5 NP_002196.4
ITGA7 NP_002197.2
ITGA9 NP_002198.2
ITGAL NP_002200.2
ITGAM NP_000623.2
ITGAX NP_000878.2
ITGB2 NP_000202.3
ITGB4 NP_000204.3
ITGB6 NP_000879.2
ITGB7 NP_000880.1
ITGB8 NP_002205.1
ITIH2 NP_002207.2
ITIH3 NP_002208.3
ITIH4 NP_002209.2
ITIH5 NP_085046.5
ITK NP_005537.3
ITLN1 NP_060095.2
ITLN2 NP_543154.1
ITM2C NP_112188.1
ITPKA NP_002211.1
ITPR2 NP_002214.2
ITPRID1 NP_001244896.2
ITPRID2 NP_001123917.1
IVD NP_002216.3
IYD NP_981932.1
JADE2 NP_056103.4
JAG1 NP_000205.1
JAK2 NP_004963.1
JAK3 NP_000206.2
JAKMIP2 NP_001257870.1
JAM2 NP_067042.1
JAM3 NP_116190.3
JARID2 NP_004964.2
JCHAIN NP_653247.1
JDP2 NP_001128520.1
JHY NP_079082.2
JMJD1C NP_116165.1
JMJD7 NP_001108104.1
JUP NP_002221.1
KANK1 NP_055973.2
KANK4 NP_859063.3
KANSL1 NP_001180395.1
KARS1 NP_005539.1
KASH5 NP_653289.3
KAT2A NP_066564.2
KAT5 NP_874369.1
KAT6A NP_006757.2
KAT6B NP_036462.2
KATNB1 NP_005877.2
KATNIP NP_056017.4
KAZALD1 NP_112191.2
KAZN NP_963922.2
KBTBD13 NP_001094832.1
KCNA1 NP_000208.2
KCNA10 NP_005540.1
KCNA2 NP_004965.1
KCNA5 NP_002225.2
KCNAB1 NP_751892.1
KCNB1 NP_004966.1
KCNB2 NP_004761.2
KCND1 NP_004970.3
KCND2 NP_036413.1
KCND3 NP_004971.2
KCNE1 NP_000210.2
KCNE2 NP_751951.1
KCNE5 NP_036414.1
KCNG4 NP_758857.1
